form,sid,grp,ntm,loss,aic,bic,tau,pc_coef,dlp_coef,rlp_coef,mlp_coef,relt_coef
PC,0,0,3,345.81567250555696,753.6313450111139,862.7966334648436,0.5805411330309365,0.5847732330474749,,,,
dLP,0,0,3,284.61828179012787,631.2365635802557,740.4018520339854,2.609523726500896,,1.6226240009960882,,,
rLP,0,0,3,345.783927977897,753.567855955794,862.7331444095238,8.962384466013587,,,0.1846844350874583,,
mLP,0,0,3,345.57903436907355,753.1580687381471,862.3233571918767,4.143663283894199,,,,0.07782917013219336,
RELT,0,0,3,197.51441379167744,457.0288275833549,566.1941160370845,2.163753946098516,,,,,2.063941145895099
PC + dLP,0,0,3,284.3931563789152,630.7863127578304,739.9516012115599,5.2603629254786135,-0.03581037293395255,0.8202352036309756,,,
PC + rLP,0,0,3,345.07150497670267,752.1430099534055,861.3082984071351,6.0818948772846095,0.05468471044626145,,0.2673230486545479,,
PC + mLP,0,0,3,345.3359413470138,752.6718826940275,861.8371711477573,5.7879027816317805,0.03682617422803665,,,0.04220952962438786,
PC + RELT,0,0,3,197.0401348140993,456.0802696281986,565.2455580819283,5.925928233046112,0.06141783160646055,,,,0.7406281454691078
dLP + rLP,0,0,3,279.26969315327585,620.5393863065517,729.7046747602814,4.790565205204169,,0.9388202503894496,0.9471457750286104,,
dLP + mLP,0,0,3,265.88468461456506,593.7693692291302,702.9346576828598,4.031009251583353,,1.4720487366219497,,-0.546953919748711,
dLP + RELT,0,0,3,194.16154763090924,450.3230952618185,559.4883837155481,2.7537505965276057,,0.4508717983071658,,,1.428515161195383
rLP + mLP,0,0,3,344.7371742396478,751.4743484792956,860.6396369330253,8.784747026375682,,,0.19566813179451933,0.0375098329972181,
rLP + RELT,0,0,3,188.39099340282525,438.7819868056505,547.9472752593801,10.856723795354506,,,0.6989921965214325,,0.4516957857179715
mLP + RELT,0,0,3,197.4986379420532,456.9972758841064,566.1625643378361,5.867128563710803,,,,-0.013236837763266257,0.7646377926182228
PC + dLP + rLP,0,0,3,279.14098552570863,620.2819710514173,729.4472595051469,6.5166028974719845,-0.02230118645549161,0.6983083739856424,0.6894308618837872,,
PC + dLP + mLP,0,0,3,260.0493763109382,582.0987526218764,691.2640410756061,6.062801436079559,0.18568769337029045,1.0330538850111832,,-0.4952450299372274,
PC + dLP + RELT,0,0,3,194.12303726716462,450.24607453432924,559.4113629880587,3.1028257673051933,0.034139032216451384,0.3871019441324571,,,1.2659690989212384
PC + rLP + mLP,0,0,3,344.5309009876425,751.061801975285,860.2270904290148,9.018225402549694,0.0219653276772645,,0.1876351623212176,0.02863295006991998,
PC + rLP + RELT,0,0,3,188.20736844864663,438.41473689729327,547.5800253510229,5.824970816405561,0.041466604685586786,,1.2882778785426143,,0.8315532324883098
PC + mLP + RELT,0,0,3,196.79055184025756,455.5811036805151,564.7463921342447,4.707618756968323,0.10555921586035157,,,-0.07129603616226654,0.9452898964517662
dLP + rLP + mLP,0,0,3,260.61509206677255,583.2301841335452,692.395472587275,4.1753149475477125,,1.4625013069895716,1.090544475220823,-0.5267409091705366,
dLP + rLP + RELT,0,0,3,185.8157277197855,433.631455439571,542.7967438933007,8.174869709057669,,0.1369753585184776,0.8782369552398155,,0.5314635898522461
dLP + mLP + RELT,0,0,3,190.57411657464948,443.14823314929896,552.3135216030287,3.7593647167896473,,0.657294276327299,,-0.4428201814095815,1.0210412303054743
rLP + mLP + RELT,0,0,3,188.33489489550823,438.66978979101646,547.8350782447461,8.297968351826388,,,0.9174878964302532,-0.01814028924385052,0.5965626871510482
PC + dLP + rLP + mLP,0,0,3,253.98280895928903,569.9656179185781,679.1309063723078,9.295276952047553,0.13321980838964706,0.6988473464483121,0.5325684746599172,-0.32739034249397864,
PC + dLP + rLP + RELT,0,0,3,185.80811904261031,433.61623808522063,542.7815265389504,2.929428784377673,0.016787161481944694,0.3773035216082559,2.448827100299503,,1.4813757469547386
PC + dLP + mLP + RELT,0,0,3,189.11586567369568,440.23173134739136,549.397019801121,3.849288551030961,0.1795179757317066,0.692053577469265,,-0.5628711796366825,0.9723475771884136
PC + rLP + mLP + RELT,0,0,3,188.00440901229615,438.00881802459236,547.174106478322,4.601114173841672,0.07661800030301855,,1.6302348500603996,-0.06634146972865072,1.0670814417450678
dLP + rLP + mLP + RELT,0,0,3,182.6298681833032,427.2597363666064,536.425024820336,6.876112871759949,,0.3305757496495516,1.0122913616916889,-0.2315584416446597,0.6179178406690548
PC + dLP + rLP + mLP + RELT,0,0,3,181.71060388253318,425.42120776506636,534.586496218796,7.854819038126715,0.07221760489059292,0.3114159224793581,0.8609786385603002,-0.2498648225070092,0.5258518682084539
PC,1,0,3,346.56636530408844,755.1327306081769,864.2980190619064,9.599507376823317,-0.004103184003641562,,,,
dLP,1,0,3,346.45377939707436,754.9075587941487,864.0728472478786,6.952043587844976,,-0.043982720219265525,,,
rLP,1,0,3,322.4892359857055,706.978471971411,816.1437604251407,4.701505211043185,,,1.389703601621194,,
mLP,1,0,3,339.84535944777144,741.6907188955429,850.8560073492724,5.746707060528059,,,,0.1724701575990254,
RELT,1,0,3,316.20972894671104,694.4194578934221,803.5847463471518,3.6165826337318254,,,,,0.6560307444117132
PC + dLP,1,0,3,346.4435374269786,754.8870748539572,864.0523633076871,9.271993520650414,-0.0051194619427877034,-0.03345198415180878,,,
PC + rLP,1,0,3,322.4812821514685,706.9625643029368,816.1278527566666,4.764829768782851,0.009583697616728191,,1.3726765751111505,,
PC + mLP,1,0,3,338.7914686840562,739.5829373681122,848.7482258218421,6.746936536891803,-0.07569120832780935,,,0.17498867438861535,
PC + RELT,1,0,3,296.2379107227854,654.4758214455708,763.6411098993004,8.414317343062072,-0.3281204727654819,,,,0.5001540476014313
dLP + rLP,1,0,3,321.9953547674428,705.9907095348856,815.1559979886152,10.01392273352062,,0.07128392615864487,0.6764851080978439,,
dLP + mLP,1,0,3,337.60838020066825,737.2167604013365,846.3820488550663,6.852455746050222,,-0.20322501332650705,,0.18166495163825108,
dLP + RELT,1,0,3,309.6798688024897,681.3597376049794,790.5250260587089,6.2538821713613295,,-0.4028578396156289,,,0.4643679911371302
rLP + mLP,1,0,3,307.9628194479924,677.9256388959848,787.0909273497143,10.479521010821776,,,0.7399613301581441,0.14546179987962446,
rLP + RELT,1,0,3,267.66161587311626,597.3232317462325,706.4885201999623,7.377280375146369,,,1.4690763943013836,,0.5149457019677613
mLP + RELT,1,0,3,314.4073681715988,690.8147363431976,799.9800247969272,6.468700390365609,,,,-0.10556965981436724,0.4556832154392942
PC + dLP + rLP,1,0,3,321.97591782028695,705.9518356405739,815.1171240943036,9.111139367762274,0.007693524088110108,0.07936771741871608,0.7450437002517369,,
PC + dLP + mLP,1,0,3,336.2472855032703,734.4945710065407,843.6598594602702,7.793114245702298,-0.07732045194434194,-0.18886635559996456,,0.18789693577200434,
PC + dLP + RELT,1,0,3,284.3313848731799,630.6627697463598,739.8280582000896,7.686137099674398,-0.4408792045851258,-0.4618312558744168,,,0.6650865014889663
PC + rLP + mLP,1,0,3,307.0240778834365,676.0481557668728,785.2134442206026,2.4676042456106275,-0.21418950490389674,,3.1182948522410134,0.6848305947321036,
PC + rLP + RELT,1,0,3,241.12001302960132,544.2400260592027,653.4053145129323,7.035444557565478,-0.5225140164834177,,1.7395709375968902,,0.8746540030713458
PC + mLP + RELT,1,0,3,293.58420925959774,649.1684185191955,758.3337069729251,5.92428076416483,-0.4779110932909143,,,-0.17321237165502212,0.8602613357869965
dLP + rLP + mLP,1,0,3,307.03893998498575,676.0778799699715,785.2431684237011,1.7024489861320138,,-0.6001663971602457,4.470831434754862,1.0025690227789998,
dLP + rLP + RELT,1,0,3,264.3066835041597,590.6133670083194,699.7786554620491,7.130633755522177,,-0.28893953358063723,1.4841294291922462,,0.5909240369771689
dLP + mLP + RELT,1,0,3,309.4202836816089,680.8405673632178,790.0058558169476,4.105021422798971,,-0.5760690509774842,,-0.06488249913603215,0.7512080213020551
rLP + mLP + RELT,1,0,3,266.8612595409234,595.7225190818468,704.8878075355764,4.572507298771718,,,2.366169131157266,-0.10324231100392772,0.921761934825558
PC + dLP + rLP + mLP,1,0,3,305.99456674039595,673.9891334807919,783.1544219345217,5.6235950331143,-0.10168236291573722,-0.18945281268558398,1.3381409458628422,0.33476628989231905,
PC + dLP + rLP + RELT,1,0,3,236.5278098149756,535.0556196299514,644.2209080836807,4.9135142854551015,-0.7881713618702412,-0.5113495684101685,2.333554362465468,,1.3323844782034029
PC + dLP + mLP + RELT,1,0,3,283.75420321070214,629.5084064214043,738.673694875134,8.480582012556285,-0.4017386315215216,-0.4021367272282604,,-0.05671948155942118,0.6435378300281066
PC + rLP + mLP + RELT,1,0,3,239.12385841340352,540.2477168268068,649.4130052805366,4.954249473268396,-0.7702863948250401,,2.488817584021295,-0.1937389096084014,1.4249365093723576
dLP + rLP + mLP + RELT,1,0,3,264.2984012664557,590.5968025329114,699.7620909866409,5.773868880467818,,-0.3487805945385097,1.8323894896345956,-0.00912552891217668,0.7357892999511174
PC + dLP + rLP + mLP + RELT,1,0,3,236.07018559858685,534.1403711971736,643.3056596509033,10.434645298321547,-0.3767666037658979,-0.21548708182854576,1.1062344993141409,-0.046586411546190296,0.665445861131823
