sid,grp,ntm,pc_coef,rlp_coef,A3minusA4,A3minusA1,aic_diff
0,0,3,0.15906805901862311,0.033553232195665514,122.0,178.0,-2.995829393460099
1,0,3,0.09666517282879042,0.5911065970848915,47.0,23.0,42.18461625700854
2,0,1,0.6360195630327912,0.35379295726101145,-99.0,-118.0,116.34724672057644
3,0,3,-0.3448103058626497,0.05487516938429392,-18.0,39.0,39.4479043145833
4,0,2,1.1065096859738421,0.06171413074348771,40.0,-46.0,85.80266540000343
5,0,2,1.6766659641353736,-0.479701329016062,33.0,-48.0,94.67664480315796
6,0,3,-0.10714361044358713,0.1709533535388584,38.0,95.0,38.03759655564318
7,0,1,-0.006129249536237377,-0.6183913348239461,101.0,99.0,41.85499093966746
8,0,2,0.11572461452428094,-0.11031922134064026,-83.0,33.0,-5.202470979068039
9,0,2,-0.11344061555927505,-0.3007858782816154,0.0,43.0,1.8963291776424285
10,0,1,-0.32288658039913115,-0.1502545941459182,-30.0,11.0,23.71536555468026
11,0,3,-2.6677371367778133,0.5505582945646816,-172.0,0.0,278.7724214889615
12,0,2,0.8573793528899379,0.8778973317955205,30.0,40.0,11.62395284345746
13,0,1,1.1353868764465447,-0.62390450953948,17.0,-162.0,361.7303181713571
14,0,1,0.7499038482098136,0.04584055350450069,-31.0,-174.0,228.23503387048544
15,0,3,-0.5792271438914182,-0.10423402997510234,0.0,97.0,64.10388764873016
16,0,2,0.1669885609394994,-0.6538052744421752,-26.0,-79.0,49.76891063310677
17,0,2,0.5620523370039427,0.7405264868140601,-65.0,-71.0,103.0438703618164
18,0,2,1.7727886950076808,1.0283629858062977,0.0,-122.0,347.4892725977918
19,0,3,1.235350350506912,-0.5941434075510644,10.0,-57.0,153.51761409933192
20,0,3,-0.1249008816210436,0.04567312433938679,-49.0,-32.0,36.485341853987734
22,0,1,0.21012990892649766,-0.18089738355803897,-25.0,7.0,-3.9105996011464867
23,0,1,1.5703840035142878,-0.3751416408067171,0.0,20.0,344.50910620829364
24,0,2,2.9963628973636904,-0.7880759617877353,1.0,-175.0,403.24552674501876
25,0,2,0.7857234923909175,-0.29523781519832915,2.0,1.0,26.8006338163774
26,0,1,0.40287032909265635,-0.7649920359455115,-83.0,-155.0,83.91996087181474
27,0,1,-0.05347997628648042,-0.10405808577606114,56.0,20.0,-2.782881370481391
28,0,2,-2.456219010871992,3.427654662895646,-37.0,54.0,154.82841964944873
29,0,2,-0.8897039902609674,0.1619172732606395,-184.0,33.0,256.39820923496984
30,0,2,0.5604273905759559,1.0727176118980872,-6.0,-41.0,31.19238567011564
31,0,2,0.47873219707330444,0.3205117688908382,119.0,103.0,15.23159233615047
32,0,3,1.046421537533091,2.296558046981976,41.0,82.0,41.41438317972552
33,0,3,-0.30520762762619996,-0.5888398451351937,-64.0,13.0,82.46705666531943
34,0,2,0.5205300351976011,-1.107346439734585,2.0,-184.0,405.428891855786
35,0,3,0.30838275379023505,0.9064983781965844,70.0,83.0,125.3988902358617
36,0,1,1.8391369644085593,1.1654028082648518,18.0,-101.0,132.8887057292452
37,0,2,-0.9576196694473625,-1.6752525220424672,6.0,-25.0,17.548622175690298
38,0,2,1.075090094127831,-2.675189295225334,-34.0,-111.0,263.46470615335113
39,0,1,2.241366349290726,1.747386202930984,-5.0,13.0,533.7932082075768
40,0,1,0.7755017856782652,0.13488198849281952,9.0,-96.0,103.67911625643501
41,0,1,-0.10532807842199593,2.9541337837627015,84.0,167.0,265.8584681138883
42,0,1,1.9093740141416606,-2.643610919727557,-20.0,-202.0,508.65986639439916
43,0,2,-0.14610729582621407,1.3370007323858848,42.0,118.0,174.87298844264137
44,0,2,1.1464011741186415,-0.4825246940965748,-1.0,15.0,140.23579433319594
45,0,3,-0.4955483908604957,-0.32618412464733554,8.0,65.0,79.48022069494709
46,0,2,-0.3256504362715385,0.04358701829649143,-10.0,45.0,48.73083417322823
47,0,2,0.5259031628104773,-0.18694565094936347,11.0,-55.0,52.517140720481166
48,0,3,2.2833291714866104,0.11717286365678976,26.0,26.0,412.4022157998346
49,0,2,0.4579308964520919,0.06426685287039605,0.0,-50.0,17.904281772124705
50,0,3,-0.12021704449966741,-0.687792073294175,37.0,50.0,58.32816952290966
51,0,1,0.9758412025610053,0.06878861257701946,51.0,1.0,103.98036839649274
52,0,2,0.42720095572137007,-0.40374534291558195,-4.0,-129.0,118.66896678531293
53,0,3,-0.24178369448800716,-0.08024985326676062,7.0,56.0,53.90977035350659
