,sid,grp,tid,pc1
950,0,0,4,0.5013941188363991
628,0,0,3,0.6005936464949926
312,0,0,2,0.7201172091797092
0,1,0,1,0.9510759586041453
951,1,0,4,0.23780381335509887
313,1,0,2,0.892094460655182
629,1,0,3,0.39224589503614943
314,2,0,2,0.39903450590031553
1,2,0,1,1.0
952,2,0,4,0.5641766950254096
315,3,0,2,1.0
630,3,0,3,0.8423369608450508
953,3,0,4,0.36021713446811043
2,3,0,1,0.9078610022409053
631,4,0,3,0.40361955229676316
316,4,0,2,0.6666666666666666
954,4,0,4,0.6763808148821611
3,4,0,1,0.7347233457797195
317,5,0,2,0.45682121697746697
955,5,0,4,0.666910534963907
632,5,0,3,0.24510426025119794
4,5,0,1,0.9297770903659988
318,6,0,2,0.9098820759384497
633,6,0,3,0.5755127363221724
5,6,0,1,0.9351416489795525
956,6,0,4,0.6093473233815137
634,7,0,3,0.5323005045492191
6,7,0,1,0.9536964241289588
957,7,0,4,0.44594426171038104
635,8,0,3,0.9031904313511528
319,8,0,2,0.9617330191129223
7,8,0,1,0.4275297619047619
958,8,0,4,0.5674999496771607
8,9,0,1,0.6393934875387697
959,9,0,4,0.6607968567694102
636,9,0,3,0.26924040833906226
320,9,0,2,0.7083374172588605
637,10,0,3,0.52127661280554
9,10,0,1,0.35583504102125724
321,10,0,2,0.5367076916935983
960,10,0,4,0.30922709407372223
961,11,0,4,0.3055848186945643
638,11,0,3,0.7196030258502616
322,11,0,2,1.0
10,11,0,1,0.8711644983924949
962,12,0,4,0.5953120037214398
639,12,0,3,0.7626815924507133
323,12,0,2,0.45927190525781186
11,12,0,1,0.8249467084074298
640,13,0,3,0.581364461132263
324,13,0,2,0.6665747234324432
963,13,0,4,0.27777777777777773
12,13,0,1,0.8856309680672448
325,14,0,2,0.48558201058201056
641,14,0,3,0.12537277537277539
964,14,0,4,0.5092130961708159
13,14,0,1,0.8500376380308943
326,15,0,2,0.9321490017918589
14,15,0,1,0.6069196676339536
642,15,0,3,0.7347272397768697
965,15,0,4,0.48214702381718133
966,16,0,4,0.5192968891908857
643,16,0,3,0.6132624550245226
15,16,0,1,0.8473616728898596
327,16,0,2,0.9206950062231931
328,17,0,2,0.7917814052894953
16,17,0,1,0.5643384408310913
967,17,0,4,0.5689345874597725
644,17,0,3,0.3451499118165785
968,18,0,4,0.0
645,18,0,3,0.75
17,18,0,1,0.9178610022409053
329,18,0,2,0.9800908326190195
330,19,0,2,0.6959991041443861
969,19,0,4,0.23202380952380955
646,19,0,3,0.6622792691484641
18,19,0,1,0.8486475117320721
19,20,0,1,0.8423558757884105
647,20,0,3,0.4329050264627462
331,20,0,2,1.0
970,20,0,4,0.3871228519808813
20,21,0,1,0.49825389402030934
332,21,0,2,0.4541970702111637
971,21,0,4,0.576181233390979
648,21,0,3,0.42704812008445225
972,22,0,4,0.4095432014180163
649,22,0,3,0.3090625516330187
333,22,0,2,0.5557716277575343
21,22,0,1,0.4353847877224105
973,23,0,4,0.6676942524324809
22,23,0,1,0.6626065853338581
650,23,0,3,0.351495809154875
334,23,0,2,0.8251768387503075
651,24,0,3,0.4972222222222222
974,24,0,4,0.45666666666666667
23,24,0,1,0.9449676833045659
335,24,0,2,0.8314630705275341
975,25,0,4,0.7502269255564584
24,25,0,1,0.8690387800186831
336,25,0,2,0.9984000000000001
652,25,0,3,0.5007923083064018
337,26,0,2,0.4275643338143338
976,26,0,4,0.5217128186705384
25,26,0,1,0.7457848492737577
653,27,0,3,0.44049558170998465
26,27,0,1,0.8548962793043693
338,27,0,2,0.49114293137651593
977,27,0,4,0.5506355305214371
654,28,0,3,0.4779153337247697
27,28,0,1,0.7753279382886598
339,28,0,2,0.807377162435885
978,28,0,4,0.41915404367248493
979,29,0,4,0.406552048566142
655,29,0,3,0.671798099791356
980,30,0,4,0.5067944839085774
340,30,0,2,0.89218510624148
28,30,0,1,0.6841993043838649
656,30,0,3,0.5974822065073916
341,31,0,2,0.7061381271351252
981,31,0,4,0.4116009710533704
657,31,0,3,0.5162194931973099
29,31,0,1,0.7907383443510916
342,32,0,2,0.585971295900223
982,32,0,4,0.38739860613653854
658,32,0,3,0.5851723013021438
30,32,0,1,0.9574705387205387
983,33,0,4,0.5889214614986724
659,33,0,3,0.5448992233488532
31,33,0,1,0.90253328849401
343,33,0,2,0.9825908326190195
984,34,0,4,0.0
660,34,0,3,0.5909611992945325
32,34,0,1,0.7191326377171983
344,34,0,2,1.0
661,35,0,3,0.7273550732526772
345,35,0,2,0.8440950062231931
33,35,0,1,0.8867709648273386
985,35,0,4,0.472868524538682
986,36,0,4,0.5305762394856756
346,36,0,2,0.6242689023223079
34,36,0,1,0.395084643286299
662,36,0,3,0.6782703382243159
663,37,0,3,0.5266745528517638
347,37,0,2,0.6631751806396441
987,37,0,4,0.46430980600440824
35,37,0,1,0.9478034948360293
36,38,0,1,0.8404622133703031
664,38,0,3,0.40543264379048694
988,38,0,4,0.70729336035108
348,38,0,2,0.47923901882057757
349,39,0,2,0.9774241659523528
665,39,0,3,0.7245498091651937
989,39,0,4,0.8765855377374986
990,40,0,4,0.5994433700249288
350,40,0,2,0.6760972149072565
666,40,0,3,0.3308271413694216
37,40,0,1,0.9631509695835042
991,41,0,4,0.4010372112714016
667,41,0,3,0.5891109141169176
992,42,0,4,0.6124087999204099
38,42,0,1,1.0
351,42,0,2,0.7113253219313254
993,43,0,4,0.4163433462426058
39,43,0,1,0.9054365079365081
352,43,0,2,0.9555146059471405
668,43,0,3,0.65454292654893
40,44,0,1,0.4229276895943562
353,44,0,2,0.7403042784170257
669,44,0,3,0.7616951356712764
994,44,0,4,0.4882917738384019
41,45,0,1,0.8396905086119517
354,45,0,2,0.7246424701351206
995,45,0,4,0.46392473310629184
670,45,0,3,0.4737653603751059
42,46,0,1,0.5584911387247233
671,46,0,3,0.509881027799469
355,46,0,2,0.8208622759750233
996,46,0,4,0.12780465590705195
672,47,0,3,0.705838084402548
356,47,0,2,0.40165702259930286
997,47,0,4,0.6049586744838595
43,47,0,1,0.9855659960177124
357,48,0,2,1.0
673,48,0,3,0.7187744399197219
674,49,0,3,0.5035951626767214
998,49,0,4,0.5924208427503757
44,49,0,1,0.6014754751164094
358,49,0,2,0.5013327437149082
675,50,0,3,0.4175431381528837
45,50,0,1,0.93960543856616
359,50,0,2,0.8460566791130529
999,50,0,4,0.6182512849932558
1000,51,0,4,0.539885495751911
46,51,0,1,0.6343647548335662
360,51,0,2,0.8298819457699389
676,51,0,3,0.48952662076859144
47,52,0,1,0.5104849517662009
361,52,0,2,0.8350480719561618
677,52,0,3,0.6380038489448042
1001,52,0,4,0.4891704622563688
678,53,0,3,0.3372719164863195
362,53,0,2,0.5702559834969176
48,53,0,1,0.7984376314940053
1002,53,0,4,0.4488055471995437
679,54,0,3,0.4785127591751363
363,54,0,2,0.6552827586122916
1003,54,0,4,0.41189319108375505
680,55,0,3,0.7681249648498403
49,55,0,1,0.989271259175607
364,55,0,2,0.8056903688749294
1004,55,0,4,0.5967166189548475
50,56,0,1,0.7930004529085427
365,56,0,2,1.0
1005,56,0,4,0.5523529282341774
681,56,0,3,0.9506279132216071
682,57,0,3,0.7049450219094855
1006,57,0,4,0.3682439052818377
366,57,0,2,0.6184763266871109
51,57,0,1,0.881991845751652
367,58,0,2,0.7334012481139954
683,58,0,3,0.5238281683594184
52,58,0,1,0.7392421791636222
1007,58,0,4,0.6504233578046069
1008,59,0,4,0.5208333333333333
368,59,0,2,0.6446896111785196
684,59,0,3,0.0
53,59,0,1,0.8473616728898596
369,60,0,2,0.9419445690009427
685,60,0,3,0.7535263347763349
1009,60,0,4,0.6677704252717714
54,60,0,1,0.8555184395748134
370,61,0,2,0.6738323499058186
686,61,0,3,0.7179377363068572
1010,61,0,4,0.46344804791385763
55,61,0,1,0.5659958781649992
371,62,0,2,0.4827317050129542
687,62,0,3,0.5154516892419436
56,62,0,1,0.7569327932533209
1011,62,0,4,0.586556232315852
57,63,0,1,0.8571184041548225
372,63,0,2,0.9778464309700488
1012,63,0,4,0.38020105467586957
688,63,0,3,0.8384376314940053
58,64,0,1,0.7262134457980064
1013,64,0,4,0.6895017613920157
373,64,0,2,0.4223699874122676
689,64,0,3,0.7798520923520923
1014,65,0,4,0.49736074930737734
374,65,0,2,0.9047896987504201
59,65,0,1,0.7542292937182021
690,65,0,3,0.7526047856826023
375,66,0,2,1.0
60,66,0,1,1.0
1015,66,0,4,0.4038943425040881
691,66,0,3,0.6124339168108182
1016,67,0,4,0.5922312120926739
376,67,0,2,0.6419184765594107
692,67,0,3,0.5137305734647637
61,67,0,1,0.8516136525743739
377,68,0,2,0.6791852992480335
693,68,0,3,0.6026100908349663
1017,68,0,4,0.6065174018754311
62,69,0,1,0.7073803615776694
1018,69,0,4,0.3171066396489199
694,69,0,3,0.36163743164748685
378,69,0,2,0.4577058246998212
63,70,0,1,0.8588517729081465
1019,70,0,4,0.3940859673477388
695,70,0,3,0.5880955078767571
379,70,0,2,0.8717954053349419
380,71,0,2,0.9432419546218577
1020,71,0,4,0.26904761904761904
64,71,0,1,0.7331233457797194
696,71,0,3,0.5363335738335738
697,72,0,3,0.7528920953890937
1021,72,0,4,0.3988780023240247
381,72,0,2,0.4161496035828786
698,73,0,3,0.5010366760144926
65,73,0,1,0.9805425183512141
699,74,0,3,0.35419714391589474
1022,74,0,4,0.5979591836734693
66,74,0,1,0.552850905789444
1023,75,0,4,0.3980189127051289
700,75,0,3,0.3813464833367377
382,75,0,2,0.6381075934176351
67,75,0,1,1.0
701,76,0,3,0.5232376014392571
68,76,0,1,0.4046428571428572
383,76,0,2,0.5853777023592611
1024,76,0,4,0.3257141029802223
384,77,0,2,1.0
1025,77,0,4,0.3768223683646486
702,77,0,3,0.5814683772765898
69,78,0,1,1.0
1026,78,0,4,0.6430378648194809
703,78,0,3,0.5406931564703674
385,78,0,2,0.44238531994769714
70,79,0,1,0.9713003564285434
1027,79,0,4,0.4611003183905728
386,79,0,2,0.7173141783987389
704,79,0,3,0.4084991919807508
1028,80,0,4,0.4528314452780734
71,80,0,1,0.9774241659523528
705,80,0,3,0.6670039280009263
387,80,0,2,0.9387354360196869
388,81,0,2,0.6309702692112034
72,81,0,1,0.43420446325783524
1029,81,0,4,0.44631038491578273
706,81,0,3,0.6632234703362176
389,82,0,2,0.6447663511284186
707,82,0,3,0.31408364990179505
73,82,0,1,0.5542801494492704
1030,83,0,4,0.46266226055506243
74,83,0,1,0.8266858388422124
708,83,0,3,0.5140811660871696
390,83,0,2,0.5524512165045884
1031,84,0,4,0.31383764443629836
75,84,0,1,0.8071031746031746
709,84,0,3,0.6258916794651482
391,84,0,2,1.0
1032,85,0,4,0.5711459836459837
76,85,0,1,0.7436996608124082
710,85,0,3,0.48340978836750814
392,85,0,2,0.44875192936167496
711,86,0,3,0.25975815480043507
1033,86,0,4,0.684907350435032
393,86,0,2,0.7340808413040247
77,86,0,1,0.9032858388422125
1034,87,0,4,0.6753843345468703
394,87,0,2,0.8088541892904659
712,87,0,3,0.7269767400783956
78,87,0,1,1.0
79,88,0,1,0.9117796838094826
395,88,0,2,0.6179050204503025
713,88,0,3,0.605637519090891
1035,88,0,4,0.44079939823267317
1036,89,0,4,0.37556600896000547
714,89,0,3,0.8519086015448784
