sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
0,0,1,-1.9285714285714288,-2.928571428571429,-3.928571428571429,-3.928571428571429,-3.928571428571429,5.071428571428571,-3.928571428571429,3,2,1,1,1,10,1
0,0,2,1.0714285714285712,-1.9285714285714288,-1.9285714285714288,-1.9285714285714288,1.0714285714285712,5.071428571428571,-2.928571428571429,6,3,3,3,6,10,2
0,0,3,3.071428571428571,3.071428571428571,2.071428571428571,3.071428571428571,4.071428571428571,3.071428571428571,-1.9285714285714288,8,8,7,8,9,8,3
0,0,4,1.0714285714285712,-0.9285714285714288,4.071428571428571,-0.9285714285714288,-0.9285714285714288,-2.928571428571429,1.0714285714285712,6,4,9,4,4,2,6
1,0,1,3.25,3.25,-5.75,3.25,3.25,-0.75,-5.75,10,10,1,10,10,6,1
1,0,2,3.25,3.25,-5.75,2.25,3.25,-0.75,-5.75,10,10,1,9,10,6,1
1,0,3,3.25,-1.75,1.25,-2.75,-0.75,1.25,3.25,10,5,8,4,6,8,10
1,0,4,3.25,-5.75,3.25,-5.75,-5.75,3.25,3.25,10,1,10,1,1,10,10
2,0,1,-3.4642857142857144,-0.4642857142857144,-4.464285714285714,1.5357142857142856,4.535714285714286,4.535714285714286,-4.464285714285714,2,5,1,7,10,10,1
2,0,2,2.5357142857142856,-0.4642857142857144,3.5357142857142856,-1.4642857142857144,-2.4642857142857144,-2.4642857142857144,2.5357142857142856,8,5,9,4,3,3,8
2,0,3,1.5357142857142856,-1.4642857142857144,1.5357142857142856,-4.464285714285714,-4.464285714285714,-0.4642857142857144,4.535714285714286,7,4,7,1,1,5,10
2,0,4,1.5357142857142856,-0.4642857142857144,1.5357142857142856,0.5357142857142856,-0.4642857142857144,-0.4642857142857144,1.5357142857142856,7,5,7,6,5,5,7
3,0,1,-1.1071428571428568,-3.1071428571428568,-4.107142857142857,-5.107142857142857,3.8928571428571432,3.8928571428571432,-4.107142857142857,5,3,2,1,10,10,2
3,0,2,-2.1071428571428568,-3.1071428571428568,-5.107142857142857,-5.107142857142857,3.8928571428571432,3.8928571428571432,-4.107142857142857,4,3,1,1,10,10,2
3,0,3,3.8928571428571432,0.8928571428571432,-1.1071428571428568,0.8928571428571432,3.8928571428571432,3.8928571428571432,-3.1071428571428568,10,7,5,7,10,10,3
3,0,4,2.8928571428571432,3.8928571428571432,3.8928571428571432,3.8928571428571432,-5.107142857142857,-1.1071428571428568,3.8928571428571432,9,10,10,10,1,5,10
